Mother,Longitude,Latitude
1024PWP,-77.589796,37.353826
1026PWP,-77.587201,37.353104
1033PWP,-77.532674,37.396872
1037PWP,-77.531355,37.392639
1038PWP,-77.53154,37.392228
1039PWP,-77.530576,37.3908
1040PWP,-77.531012,37.389398
1041PWP,-77.531604,37.388365
1042PWP,-77.531685,37.385211
1043PWP,-77.534583,37.386464
1044PWP,-77.536849,37.388787
1046PWP,-77.540423,37.390698
1057PWP,-77.585923,37.389702
1059PWP,-77.579688,37.383342
1063PWP,-77.5568,37.4005
1070PWP,-77.529876,37.394651
1075PWP,-77.533065,37.396769
1081PWP,-77.538402,37.399049
135thSt,-77.471146,37.510717
1613SunburyDr,-77.473082,37.492974
1615Alaska,-77.47849,37.492511
1716Fairfax,-77.44143,37.510291
2713Glenan,-77.465096,37.480376
2906Decatur,-77.455841,37.509475
3022Porter,-77.464537,37.515265
311Dundee,-77.470204,37.514828
3120Cofer,-77.45848,37.492714
3404Delano,-77.461086,37.482443
356PWP,-77.540667,37.37575
358PWP,-77.542167,37.376944
359PWP,-77.542917,37.378333
3600McGuire,-77.466062,37.499823
360PWP,-77.541444,37.382694
3617Dorset,-77.478697,37.468216
361PWP,-77.540972,37.383667
364PWP,-77.531111,37.395417
366PWP,-77.538583,37.398972
367PWP,-77.539944,37.398861
369PWP,-77.542889,37.399611
3711FalstoneA,-77.465542,37.454236
3800EBroadRockRd,-77.468864,37.501516
4320ReservoirLn,-77.483858,37.458609
4500Adelaide,-77.479633,37.453836
4623Brittania,-77.479067,37.480995
4908Turner,-77.511846,37.44542
5000Bryce,-77.483199,37.482151
5050BrookburyBlvd,-77.490548,37.463608
5901CountryManorLn,-77.499503,37.43491
6135Cogbill,-77.507896,37.428632
6200Halrose,-77.46576,37.433422
6306PhobusDr,-77.511298,37.427882
6525Corcoran,-77.5458581,37.4142286
6601IrongateSq,-77.48653,37.427128
6618Cyrus,-77.511703,37.423204
6716WilmothDr,-77.500805,37.42318
7508HilmarDr,-77.491558,37.413989
7618RobinwoodDr,-77.5265972,37.419995
7900MillRiverLn,-77.540785,37.426772
tree2CountryManorLn,-77.490064,37.437777
