Country,HDI,CPI,Region
Afghanistan,0.398,1.5,Asia & Oceania
Albania,0.739,3.1,Central & Eastern Europe
Algeria,0.698,2.9,Middle East & North Africa
Angola,0.486,2,Sub-Saharan Africa
Argentina,0.797,3,Americas
Armenia,0.716,2.6,Central & Eastern Europe
Australia,0.929,8.8,Asia & Oceania
Austria,0.885,7.8,OECD
Azerbaijan,0.7,2.4,Central & Eastern Europe
Bahamas,0.771,7.3,Americas
Bahrain,0.806,5.1,Middle East & North Africa
Bangladesh,0.5,2.7,Asia & Oceania
Barbados,0.793,7.8,Americas
Belarus,0.756,2.4,Central & Eastern Europe
Belgium,0.886,7.5,OECD
Benin,0.427,3,Sub-Saharan Africa
Bhutan,0.522,5.7,Asia & Oceania
Bolivia,0.663,2.8,Americas
Bosnia and Herzegovina,0.733,3.2,Central & Eastern Europe
Botswana,0.633,6.1,Sub-Saharan Africa
Brazil,0.718,3.8,Americas
Britain,0.863,7.8,OECD
Bulgaria,0.771,3.3,OECD
Burkina Faso,0.331,3,Sub-Saharan Africa
Burundi,0.316,1.9,Sub-Saharan Africa
Cambodia,0.523,2.1,Asia & Oceania
Cameroon,0.482,2.5,Sub-Saharan Africa
Canada,0.908,8.7,Americas
Cape Verde,0.568,5.5,Sub-Saharan Africa
Central African Republic,0.343,2.2,Sub-Saharan Africa
Chad,0.328,2,Sub-Saharan Africa
Chile,0.805,7.2,Americas
China,0.687,3.6,Asia & Oceania
Colombia,0.71,3.4,Americas
Comoros,0.433,2.4,Sub-Saharan Africa
Congo,0.286,2,Sub-Saharan Africa
Congo  Republic,0.533,2.2,Sub-Saharan Africa
Costa Rica,0.744,4.8,Americas
Côte d'Ivoire,0.4,2.2,Sub-Saharan Africa
Croatia,0.796,4,Central & Eastern Europe
Cuba,0.776,4.2,Americas
Cyprus,0.84,6.3,OECD
Czech Republic,0.865,4.4,OECD
Denmark,0.895,9.4,OECD
Djibouti,0.43,3,Sub-Saharan Africa
Dominica,0.724,5.2,Americas
Dominican Republic,0.689,2.6,Americas
Ecuador,0.72,2.7,Americas
Egypt,0.644,2.9,Middle East & North Africa
El Salvador,0.674,3.4,Americas
Equatorial Guinea,0.537,1.9,Sub-Saharan Africa
Eritrea,0.349,2.5,Sub-Saharan Africa
Estonia,0.835,6.4,OECD
Ethiopia,0.363,2.7,Sub-Saharan Africa
Finland,0.882,9.4,OECD
France,0.884,7,OECD
Gabon,0.674,3,Sub-Saharan Africa
Gambia,0.42,3.5,Sub-Saharan Africa
Georgia,0.733,4.1,Central & Eastern Europe
Germany,0.905,8,OECD
Ghana,0.541,3.9,Sub-Saharan Africa
Greece,0.861,3.4,OECD
Guatemala,0.574,2.7,Americas
Guinea,0.344,2.1,Sub-Saharan Africa
Guinea-Bissau,0.353,2.2,Sub-Saharan Africa
Guyana,0.633,2.5,Americas
Haiti,0.454,1.8,Americas
Honduras,0.625,2.6,Americas
Hong Kong,0.898,8.4,Asia & Oceania
Hungary,0.816,4.6,OECD
Iceland,0.898,8.3,OECD
India,0.547,3.1,Asia & Oceania
Indonesia,0.617,3,Asia & Oceania
