FIPS,Jurisdict,Income,Population
51001,Accomack County,43210,33164
51003,Albemarle County,75394,99010
51005,Alleghany County,47794,16250
51007,Amelia County,58526,12690
51009,Amherst County,49170,32353
51011,Appomattox County,56176,14973
51013,Arlington County,117374,207627
51015,Augusta County,61305,73750
51017,Bath County,46137,4731
51019,Bedford County,61541,74898
51021,Bland County,50511,6824
51023,Botetourt County,68410,33148
51025,Brunswick County,41927,17434
51027,Buchanan County,30806,24098
51029,Buckingham County,46261,17146
51031,Campbell County,50258,54842
51033,Caroline County,64715,28545
51035,Carroll County,43532,30042
51036,Charles City County,59192,7256
51037,Charlotte County,39212,12586
51041,Chesterfield County,80214,316236
51043,Clarke County,77936,14034
51045,Craig County,55484,5190
51047,Culpeper County,73116,46689
51049,Cumberland County,46221,10052
51051,Dickenson County,29226,15903
51053,Dinwiddie County,55880,28001
51057,Essex County,52681,11151
51059,Fairfax County,121133,1081699
51061,Fauquier County,97469,65203
51063,Floyd County,49729,15279
51065,Fluvanna County,74931,25691
51067,Franklin County,52639,56159
51069,Frederick County,73250,78305
51071,Giles County,52478,17286
51073,Gloucester County,66701,36858
51075,Goochland County,89741,21717
51077,Grayson County,33969,15533
51079,Greene County,64979,18403
51081,Greensville County,44534,12243
51083,Halifax County,42289,36241
51085,Hanover County,88652,99863
51087,Henrico County,68572,306935
51089,Henry County,36683,54151
51091,Highland County,46147,2321
51093,Isle of Wight County,71376,35270
51095,James City County,83048,67009
51097,King and Queen County,54516,6945
51099,King George County,87321,23584
51101,King William County,68720,15935
51103,Lancaster County,50739,11391
51105,Lee County,32718,25587
51107,Loudoun County,136268,312311
51109,Louisa County,59343,33153
51111,Lunenburg County,41868,12914
51113,Madison County,54197,13308
51115,Mathews County,67009,8978
51117,Mecklenburg County,42025,32727
51119,Middlesex County,51917,10959
51121,Montgomery County,54641,94392
51125,Nelson County,62446,15020
51127,New Kent County,79698,18429
51131,Northampton County,43553,12389
51133,Northumberland County,58677,12330
51135,Nottoway County,42869,15853
51137,Orange County,68481,33481
51139,Page County,47951,24042
51141,Patrick County,40486,18490
51143,Pittsylvania County,45382,63506
51145,Powhatan County,83914,28046
51147,Prince Edward County,46189,23368
51149,Prince George County,67001,35725
51153,Prince William County,103445,402002
51155,Pulaski County,52638,34872
51157,Rappahannock County,68438,7373
51159,Richmond County,49831,9254
51161,Roanoke County,65467,92376
51163,Rockbridge County,54805,22307
51165,Rockingham County,59817,76314
51167,Russell County,39482,28897
51169,Scott County,39144,23177
51171,Shenandoah County,54921,41993
51173,Smyth County,40425,32208
51175,Southampton County,54611,18570
51177,Spotsylvania County,85330,122397
51179,Stafford County,106773,128961
51181,Surry County,54844,7058
51183,Sussex County,45801,12087
51185,Tazewell County,40978,45078
51187,Warren County,68189,37575
51191,Washington County,46262,54876
51193,Westmoreland County,54268,17454
51195,Wise County,38345,41452
51197,Wythe County,48043,29235
51199,York County,90367,65187
51510,City of Alexandria,96733,139993
51520,City of Bristol,37904,17835
51530,City of Buena Vista,34273,6650
51540,City of Charlottesville,58933,43435
51550,City of Chesapeake,75790,222209
51570,City of Colonial Heights,53716,17411
51580,City of Covington,39432,5961
51590,City of Danville,36301,43055
51595,City of Emporia,30857,5927
51600,City of Fairfax,111574,22565
51610,City of Falls Church,124796,12332
51620,City of Franklin,40375,8582
51630,City of Fredericksburg,63274,24286
51640,City of Galax,31938,7042
51650,City of Hampton,54550,137467
51660,City of Harrisonburg,43893,48914
51670,City of Hopewell,40497,22591
51678,City of Lexington,36466,7042
51680,City of Lynchburg,43374,75568
51683,City of Manassas,78462,37821
51685,City of Manassas Park,80667,14273
51690,City of Martinsville,33224,13821
51700,City of Newport News,51884,180966
51710,City of Norfolk,49146,242803
51720,City of Norton,28071,3958
51730,City of Petersburg,36135,32420
51735,City of Poquoson,96831,12150
51740,City of Portsmouth,50224,95535
51750,City of Radford,36743,16408
51760,City of Richmond,45117,204214
51770,City of Roanoke,43028,97032
51775,City of Salem,57185,24802
51790,City of Staunton,48049,23746
51800,City of Suffolk,70664,84585
51810,City of Virginia Beach,74186,437994
51820,City of Waynesboro,45738,21006
51830,City of Williamsburg,56163,14067
51840,City of Winchester,53797,26203
