Site,Longitude,Latitude,Males,Females,Suitability
12,-112.66552,27.18232,24,21,0.35190499
153,-110.46236,24.13389,35,41,0.73248702
157,-110.096,24.0195,26,30,0.88102901
159,-113.31609,27.52944,22,15,0.18796501
160,-112.52959,27.40498,48,36,0.36519101
161,-112.986,27.0367,64,63,0.27910501
162,-112.408,27.2028,57,41,0.6136198
163,-110.951,24.2115,21,21,0.43287301
166,-112.08062,25.91409,19,26,0.26730299
168,-111.21563,25.55757,28,25,0.496464998
171,-113.18263,28.22308,38,39,0.461356998
173,-112.86985,28.40846,19,32,0.524267018
175,-113.48973,28.72796,13,8,0.42144001
177,-113.99141,28.66056,49,50,0.26179001
32,-109.327,26.63783,40,27,0.0562845
48,-110.27252,24.21441,18,27,0.619518995
51,-111.60056,25.34819,9,11,0.412512004
58,-111.35475,26.0155,11,9,0.901878
64,-111.32638,25.60521,16,19,0.28762299
73,-109.85071,24.00789,11,5,0.145523
75,-110.74599,24.58843,16,18,0.8656099
77,-110.69175,24.87611,19,16,0.422609001
84,-113.66787,28.96651,13,17,0.395346999
88,-114.29353,29.32541,23,18,0.218594
89,-113.39991,28.03661,18,19,0.397500008
9,-113.94486,29.01457,11,10,0.5641302
93,-112.04613,26.94589,25,21,0.162724
Aqu,-110.10429,23.2855,12,9,0.721700013
Const,-111.675,25.0247,18,11,0.174438
