polyname,Name,pop2018,GrowthRate,FIPS
"virginia,accomack:chincoteague",NA,NA,NA,NA
"virginia,accomack:main",NA,NA,NA,NA
"virginia,albemarle",NA,NA,NA,NA
"virginia,alleghany",Alleghany,14910,-7.9686,51005
"virginia,amelia",Amelia,13013,2.0948,51007
"virginia,amherst",Amherst,31666,-2.2292,51009
"virginia,appomattox",Appomattox,15841,4.9142,51011
"virginia,arlington",Arlington,237521,13.4906,51013
"virginia,augusta",Augusta,75457,2.5496,51015
"virginia,bath",Bath,4292,-9.0871,51017
"virginia,bedford",Bedford,78747,4.933,51019
"virginia,bland",Bland,6293,-7.4423,51021
"virginia,botetourt",Botetourt,33277,0.241,51023
"virginia,brunswick",Brunswick,16384,-5.8499,51025
"virginia,buchanan",Buchanan,21221,-11.8802,51027
"virginia,buckingham",Buckingham,16999,-0.5383,51029
"virginia,campbell",Campbell,54973,0.1366,51031
"virginia,caroline",Caroline,30772,7.4404,51033
"virginia,carroll",Carroll,29636,-1.4564,51035
"virginia,charles city",Charles City,6941,-4.3808,51036
"virginia,charlotte",Charlotte,11938,-4.9674,51037
"virginia,chesterfield",Chesterfield,348556,9.887,51041
"virginia,clarke",Clarke,14523,3.6543,51043
"virginia,craig",Craig,5064,-2.5779,51045
"virginia,culpeper",Culpeper,51859,10.7176,51047
"virginia,cumberland",Cumberland,9809,-2.1839,51049
"virginia,dickenson",Dickenson,14523,-8.3549,51051
"virginia,dinwiddie",Dinwiddie,28529,1.6968,51053
"virginia,essex",Essex,10919,-2.0366,51057
"virginia,fairfax",Fairfax,1150800,5.9542,51059
"virginia,fauquier",Fauquier,70675,7.9881,51061
"virginia,floyd",Floyd,15795,2.7919,51063
"virginia,fluvanna",Fluvanna,26783,3.8423,51065
"virginia,franklin",Franklin,56195,0.016,51067
"virginia,frederick",Frederick,88355,12.4625,51069
"virginia,giles",Giles,16844,-2.7258,51071
"virginia,gloucester",Gloucester,37349,1.1072,51073
"virginia,goochland",Goochland,23244,6.8886,51075
"virginia,grayson",Grayson,15631,0.8582,51077
"virginia,greene",Greene,19779,7.1568,51079
"virginia,greensville",Greensville,11627,-4.9616,51081
"virginia,halifax",Halifax,34120,-5.7146,51083
"virginia,hampton",NA,NA,NA,NA
"virginia,hanover",Hanover,107239,7.3474,51085
"virginia,henrico",Henrico,329261,7.144,51087
"virginia,henry",Henry,50953,-5.8727,51089
"virginia,highland",Highland,2210,-3.7875,51091
"virginia,isle of wight",Isle of Wight,36953,4.6442,51093
"virginia,james city",James City,76397,12.8997,51095
"virginia,king and queen",King and Queen,7042,0.9172,51097
"virginia,king george",King George,26575,12.1497,51099
"virginia,king william",King William,16939,5.8754,51101
"virginia,lancaster",Lancaster,10783,-5.0959,51103
"virginia,lee",Lee,23541,-8.0358,51105
"virginia,loudoun",Loudoun,406850,28.9626,51107
"virginia,louisa",Louisa,36778,10.4146,51109
"virginia,lunenburg",Lunenburg,12086,-6.3826,51111
"virginia,madison",Madison,13295,-0.0601,51113
"virginia,mathews",Mathews,8802,-1.9166,51115
"virginia,mecklenburg",Mecklenburg,30650,-6.3121,51117
"virginia,middlesex",Middlesex,10769,-1.9127,51119
"virginia,montgomery",Montgomery,98985,4.6807,51121
"virginia,nelson",Nelson,14836,-0.9481,51125
"virginia,new kent",New Kent,22391,20.7518,51127
"virginia,newport news",NA,NA,NA,NA
"virginia,norfolk",NA,NA,NA,NA
"virginia,northampton",Northampton,11735,-5.4315,51131
"virginia,northumberland",Northumberland,12147,-1.6835,51133
"virginia,nottoway",Nottoway,15420,-2.5839,51135
"virginia,orange",Orange,36644,9.1245,51137
"virginia,page",Page,23933,-0.5526,51139
"virginia,patrick",Patrick,17673,-4.3099,51141
"virginia,pittsylvania",Pittsylvania,60949,-4.1562,51143
"virginia,powhatan",NA,NA,NA,NA
"virginia,prince edward",NA,NA,NA,NA
"virginia,prince george",NA,NA,NA,NA
"virginia,prince william",NA,NA,NA,NA
"virginia,pulaski",NA,NA,NA,NA
"virginia,rappahannock",Rappahannock,7252,-3.268,51157
"virginia,richmond",Richmond,9038,-2.6078,51159
"virginia,roanoke",Roanoke,94073,1.815,51161
"virginia,rockbridge",Rockbridge,22752,1.7987,51163
"virginia,rockingham",Rockingham,81244,6.3306,51165
"virginia,russell",Russell,26748,-7.3085,51167
"virginia,scott",Scott,21534,-6.8961,51169
"virginia,shenandoah",Shenandoah,43497,3.4387,51171
"virginia,smyth",Smyth,30472,-5.3606,51173
"virginia,southampton",Southampton,17586,-5.6393,51175
"virginia,spotsylvania",Spotsylvania,134238,9.1623,51177
"virginia,stafford",Stafford,149960,15.5004,51179
"virginia,suffolk",NA,NA,NA,NA
"virginia,surry",Surry,6474,-8.092,51181
"virginia,sussex",Sussex,11237,-6.4441,51183
"virginia,tazewell",Tazewell,40855,-9.4666,51185
"virginia,virginia beach",NA,NA,NA,NA
"virginia,warren",Warren,40003,6.669,51187
"virginia,washington",Washington,54402,-1.0261,51191
"virginia,westmoreland",Westmoreland,17830,1.944,51193
"virginia,wise",Wise,38012,-8.592,51195
"virginia,wythe",Wythe,28754,-1.6655,51197
"virginia,york",York,67846,3.9499,51199
