name,population
alabama,4.779736
arizona,6.392017
arkansas,2.915918
california,37.253956
colorado,5.029196
connecticut,3.574097
delaware,0.897934
district of columbia,0.601723
florida,18.80131
georgia,9.687653
idaho,1.567582
illinois,12.830632
indiana,6.483802
iowa,3.046355
kansas,2.853118
kentucky,4.339367
louisiana,4.533372
maine,1.328361
maryland,5.773552
massachusetts:main,6.547629
massachusetts:martha's vineyard,6.547629
massachusetts:nantucket,6.547629
michigan:north,9.88364
michigan:south,9.88364
minnesota,5.303925
mississippi,2.967297
missouri,5.988927
montana,0.989415
nebraska,1.826341
nevada,2.700551
new hampshire,1.31647
new jersey,8.791894
new mexico,2.059179
new york:long island,19.378102
new york:main,19.378102
new york:manhattan,19.378102
new york:staten island,19.378102
north carolina:knotts,9.535483
north carolina:main,9.535483
north carolina:spit,9.535483
north dakota,0.672591
ohio,11.536504
oklahoma,3.751351
oregon,3.831074
pennsylvania,12.702379
rhode island,1.052567
south carolina,4.625364
south dakota,0.81418
tennessee,6.346105
texas,25.145561
utah,2.763885
vermont,0.625741
virginia:chesapeake,8.001024
virginia:chincoteague,8.001024
virginia:main,8.001024
washington:lopez island,6.72454
washington:main,6.72454
washington:orcas island,6.72454
washington:san juan island,6.72454
washington:whidbey island,6.72454
west virginia,1.852994
wisconsin,5.686986
wyoming,0.563626
